Name,CBO,NOC,WMC,RFC,NPRM,NPROM,NPM,LOC,DIT,LCOM,Changes
org.apache.tapestry5.func.F,21,0,41,53,3,0,37,409,0,99,No
org.apache.tapestry5.func.FlowToSetTests,5,0,2,17,0,0,2,14,2,0,No
org.apache.tapestry5.func.FuncTest,18,0,51,66,0,0,51,467,2,0,No
org.apache.tapestry5.func.Interleaver,6,0,4,16,2,0,1,40,0,25,No
org.apache.tapestry5.func.InterleaveTests,2,0,2,17,0,0,2,19,2,0,No
org.apache.tapestry5.func.LazyConcat,6,0,2,14,0,0,2,20,0,0,No
org.apache.tapestry5.func.LazyContinuation,3,0,4,16,0,0,4,24,0,50,No
org.apache.tapestry5.func.LazyDrop,5,0,2,14,0,0,2,23,0,0,No
org.apache.tapestry5.func.LazyFilter,5,0,2,14,0,0,2,23,0,0,No
org.apache.tapestry5.func.LazyFirst,3,0,2,14,0,0,2,13,0,0,No
org.apache.tapestry5.func.LazyFlow,5,0,5,45,1,0,4,52,1,64,No
org.apache.tapestry5.func.LazyIterator,3,0,2,14,0,0,2,16,0,0,No
org.apache.tapestry5.func.LazyMapped2Value,4,0,2,14,0,0,2,17,0,0,No
org.apache.tapestry5.func.LazyMappedValue,4,0,2,14,0,0,2,15,0,0,No
org.apache.tapestry5.func.LazyMapper,7,0,2,14,0,0,2,18,0,0,No
org.apache.tapestry5.func.LazyMapper2,8,0,2,14,0,0,2,21,0,0,No
org.apache.tapestry5.func.LazyRange,3,0,2,14,0,0,2,19,0,0,No
org.apache.tapestry5.func.LazyTake,5,0,2,14,0,0,2,17,0,0,No
org.apache.tapestry5.func.LazyWalk,5,0,2,14,0,0,2,15,0,0,No
org.apache.tapestry5.func.LazyZip,6,0,2,14,0,0,2,18,0,0,No
org.apache.tapestry5.func.LazyZipValue,4,0,2,14,0,0,2,15,0,0,No
org.apache.tapestry5.func.MapperTest,8,0,10,25,0,0,10,106,2,80,No
org.apache.tapestry5.func.RangeTests,4,0,6,21,0,0,6,43,2,0,No
org.apache.tapestry5.func.StaticValue,1,0,2,14,0,0,1,12,0,0,No
org.apache.tapestry5.func.StringPredicateTests,3,0,5,20,0,0,5,33,2,0,No
